idTeam,"name",rank,"confederation",year
43948,"Germany",1,"UEFA",1993
43954,"Italy",2,"UEFA",1993
43924,"Brazil",3,"CONMEBOL",1993
43961,"Norway",4,"UEFA",1993
43969,"Spain",5,"UEFA",1993
43941,"Denmark",6,"UEFA",1993
43960,"Netherlands",7,"UEFA",1993
43922,"Argentina",8,"CONMEBOL",1993
43970,"Sweden",9,"UEFA",1993
43953,"Republic of Ireland",10,"UEFA",1993
43942,"England",11,"UEFA",1993
43971,"Switzerland",12,"UEFA",1993
43964,"Romania",13,"UEFA",1993
43965,"Russia",14,"UEFA",1993
43946,"France",15,"UEFA",1993
43911,"Mexico",16,"CONCACAF",1993
43930,"Uruguay",17,"CONMEBOL",1993
43876,"Nigeria",18,"CAF",1993
44025,"Czechoslovakia",19,"UEFA",1993
43963,"Portugal",20,"UEFA",1993
43926,"Colombia",21,"CONMEBOL",1993
43921,"USA",22,"CONCACAF",1993
43849,"Cameroon",23,"CAF",1993
43967,"Scotland",24,"UEFA",1993
43935,"Belgium",25,"UEFA",1993
43855,"Egypt",26,"CAF",1993
43891,"Zambia",27,"CAF",1993
43962,"Poland",28,"UEFA",1993
43974,"Wales",29,"UEFA",1993
43872,"Morocco",30,"CAF",1993
43936,"Bulgaria",31,"UEFA",1993
43888,"Tunisia",32,"CAF",1993
43854,"C̫te d'Ivoire",33,"CAF",1993
43949,"Greece",34,"UEFA",1993
43843,"Algeria",35,"CAF",1993
43934,"Austria",36,"UEFA",1993
43860,"Ghana",37,"CAF",1993
43835,"Saudi Arabia",38,"AFC",1993
43952,"Northern Ireland",39,"UEFA",1993
43909,"Honduras",40,"CONCACAF",1993
43822,"Korea Republic",41,"AFC",1993
43901,"Costa Rica",42,"CONCACAF",1993
43819,"Japan",43,"AFC",1993
43899,"Canada",44,"CONCACAF",1993
43945,"Finland",45,"UEFA",1993
43892,"Zimbabwe",46,"CAF",1993
43951,"Iceland",47,"UEFA",1993
43927,"Ecuador",48,"CONMEBOL",1993
43976,"Australia",49,"AFC",1993
43950,"Hungary",50,"UEFA",1993
43840,"United Arab Emirates",51,"AFC",1993
43972,"Turkey",52,"UEFA",1993
43812,"China PR",53,"AFC",1993
43834,"Qatar",54,"AFC",1993
43925,"Chile",55,"CONMEBOL",1993
43879,"Senegal",56,"CAF",1993
43984,"Israel",57,"UEFA",1993
43923,"Bolivia",58,"CONMEBOL",1993
43817,"IR Iran",59,"AFC",1993
43858,"Gabon",60,"CAF",1993
43928,"Paraguay",61,"CONMEBOL",1993
43821,"Korea DPR",62,"AFC",1993
43861,"Guinea",63,"CAF",1993
43823,"Kuwait",64,"AFC",1993
43818,"Iraq",65,"AFC",1993
43904,"El Salvador",66,"CONCACAF",1993
43868,"Malawi",67,"CAF",1993
43975,"Yugoslavia",68,"UEFA",1993
43839,"Thailand",69,"AFC",1993
43869,"Mali",70,"CAF",1993
43890,"Zaire",71,"CAF",1993
43939,"Cyprus",72,"UEFA",1993
43929,"Peru",73,"CONMEBOL",1993
43863,"Kenya",74,"CAF",1993
43836,"Singapore",75,"AFC",1993
43881,"Sierra Leone",76,"CAF",1993
43978,"New Zealand",77,"OFC",1993
43808,"Bahrain",78,"AFC",1993
43827,"Malaysia",79,"AFC",1993
43910,"Jamaica",80,"CONCACAF",1993
43875,"Niger",81,"CAF",1993
43838,"Syria",82,"AFC",1993
43959,"Malta",83,"UEFA",1993
43898,"Bermuda",84,"CONCACAF",1993
43957,"Lithuania",85,"UEFA",1993
43955,"Latvia",86,"UEFA",1993
43820,"Jordan",87,"AFC",1993
43920,"Trinidad and Tobago",88,"CONCACAF",1993
43867,"Madagascar",89,"CAF",1993
43973,"Ukraine",90,"UEFA",1993
43842,"Yemen",91,"AFC",1993
43932,"Albania",92,"UEFA",1993
43931,"Venezuela",93,"CONMEBOL",1993
43889,"Uganda",94,"CAF",1993
43883,"South Africa",95,"CAF",1993
43857,"Ethiopia",96,"CAF",1993
43831,"Oman",97,"AFC",1993
43886,"Tanzania",98,"CAF",1993
43885,"Eswatini",99,"CAF",1993
43815,"India",100,"AFC",1993
43848,"Burundi",101,"CAF",1993
43844,"Angola",102,"CAF",1993
43853,"Congo",103,"CAF",1993
43873,"Mozambique",104,"CAF",1993
43915,"Puerto Rico",105,"CONCACAF",1993
43816,"Indonesia",106,"AFC",1993
43977,"Fiji",107,"OFC",1993
43825,"Lebanon",108,"AFC",1993
43943,"Estonia",109,"UEFA",1993
43829,"Myanmar",110,"AFC",1993
43958,"Luxembourg",111,"UEFA",1993
43814,"Hong Kong",112,"AFC",1993
43887,"Togo",113,"CAF",1993
43896,"Barbados",114,"CONCACAF",1993
43944,"Faroe Islands",115,"UEFA",1993
43809,"Bangladesh",116,"AFC",1993
1882218,"Antigua and Barbuda",117,"CONCACAF",1993
43919,"Suriname",117,"CONCACAF",1993
43884,"Sudan",119,"CAF",1993
43906,"Guatemala",120,"CONCACAF",1993
43966,"San Marino",121,"UEFA",1993
43938,"Croatia",122,"UEFA",1993
43865,"Liberia",123,"CAF",1993
43830,"Nepal",124,"AFC",1993
43859,"Gambia",125,"CAF",1993
43837,"Sri Lanka",126,"AFC",1993
43847,"Burkina Faso",127,"CAF",1993
43918,"St. Vincent and the Grenadines",129,"CONCACAF",1993
43845,"Benin",130,"CAF",1993
43862,"Guinea-Bissau",131,"CAF",1993
43914,"Panama",132,"CONCACAF",1993
43871,"Mauritius",133,"CAF",1993
43968,"Slovenia",134,"UEFA",1993
43841,"Vietnam",135,"AFC",1993
43907,"Guyana",136,"CONCACAF",1993
43937,"Belarus",137,"UEFA",1993
43864,"Lesotho",138,"CAF",1993
43917,"St. Lucia",139,"CONCACAF",1993
43846,"Botswana",140,"CAF",1993
43981,"Tahiti",141,"OFC",1993
43832,"Pakistan",142,"AFC",1993
43905,"Grenada",143,"CONCACAF",1993
43870,"Mauritania",144,"CAF",1993
43908,"Haiti",145,"CONCACAF",1993
43824,"Laos",146,"AFC",1993
43850,"Cape Verde Islands",147,"CAF",1993
43828,"Maldives",148,"AFC",1993
43980,"Solomon Islands",149,"OFC",1993
44002,"Slovakia",150,"UEFA",1993
43810,"Brunei Darussalam",151,"AFC",1993
43866,"Libya",152,"CAF",1993
43903,"Dominican Republic",153,"CONCACAF",1993
43900,"Cayman Islands",154,"CONCACAF",1993
43913,"Nicaragua",155,"CONCACAF",1993
43874,"Namibia",156,"CAF",1993
43851,"Central African Republic",157,"CAF",1993
43880,"Seychelles",157,"CAF",1993
43902,"Cuba",159,"CONCACAF",1993
43956,"Liechtenstein",160,"UEFA",1993
43813,"Chinese Taipei",161,"AFC",1993
43856,"Equatorial Guinea",162,"CAF",1993
43833,"Philippines",163,"AFC",1993
43982,"Vanuatu",164,"OFC",1993
43894,"Aruba",165,"CONCACAF",1993
43852,"Chad",166,"CAF",1993
43826,"Macau",166,"AFC",1993
43916,"St. Kitts and Nevis",166,"CONCACAF",1993